,country,year,age,suicides/100k pop,depression
0,Albania,1992,14- years,0.0,0.876335034994
1,Albania,1992,15-24 years,2.9000000000000004,2.17847720258
2,Albania,1992,25-34 years,2.175,2.4003569646500003
3,Albania,1992,35+ years,1.3083333333333333,3.46585622404
4,Albania,1993,14- years,0.28,0.877472631136
5,Albania,1993,15-24 years,5.455,2.19922778638
6,Albania,1993,25-34 years,3.29,2.406090571895
7,Albania,1993,35+ years,2.4183333333333334,3.4649787217433334
8,Albania,1994,14- years,0.135,0.8801753863920001
9,Albania,1994,15-24 years,2.3,2.218066037955
10,Albania,1994,25-34 years,2.06,2.414601882035
11,Albania,1994,35+ years,3.865,3.467810193643333
12,Albania,1995,14- years,1.08,0.8818477230299999
13,Albania,1995,15-24 years,4.574999999999999,2.236808801515
14,Albania,1995,25-34 years,4.115,2.4223230558649997
15,Albania,1995,35+ years,3.5016666666666665,3.47070061278
16,Albania,1996,14- years,0.405,0.88387582154
17,Albania,1996,15-24 years,6.27,2.25170356439
18,Albania,1996,25-34 years,4.84,2.4344421900400004
19,Albania,1996,35+ years,3.4316666666666666,3.475211143073334
20,Albania,1997,14- years,1.355,0.886204368478
21,Albania,1997,15-24 years,10.32,2.2703473787300004
22,Albania,1997,25-34 years,10.545,2.44402839729
23,Albania,1997,35+ years,5.498333333333334,3.482021211793333
24,Albania,1998,14- years,0.39,0.886227083643
25,Albania,1998,15-24 years,10.84,2.281607639735
26,Albania,1998,25-34 years,7.225,2.453510725125
27,Albania,1998,35+ years,4.935,3.48866874456
28,Albania,1999,14- years,0.135,0.887557964763
29,Albania,1999,15-24 years,7.99,2.2950808415550004
30,Albania,1999,25-34 years,6.27,2.4656455509849997
31,Albania,1999,35+ years,6.836666666666667,3.4960797831533337
32,Albania,2000,14- years,0.135,0.8887328542770001
33,Albania,2000,15-24 years,2.175,2.30044131318
34,Albania,2000,25-34 years,4.275,2.48096340761
35,Albania,2000,35+ years,2.921666666666667,3.5021406940833333
36,Albania,2001,14- years,1.26,0.892112119295
37,Albania,2001,15-24 years,3.615,2.30162310152
38,Albania,2001,25-34 years,6.2250000000000005,2.489780243465
39,Albania,2001,35+ years,4.736666666666666,3.5052125554933333
40,Albania,2002,14- years,0.32,0.8972030837759999
41,Albania,2002,15-24 years,5.385,2.3031451885400003
42,Albania,2002,25-34 years,7.140000000000001,2.4942575288600004
43,Albania,2002,35+ years,6.136666666666668,3.51021009171
44,Albania,2003,14- years,0.64,0.8989930740350001
45,Albania,2003,15-24 years,5.21,2.303173677675
46,Albania,2003,25-34 years,4.21,2.503184779035
47,Albania,2003,35+ years,6.413333333333334,3.5159763409699996
48,Albania,2004,14- years,0.6900000000000001,0.9044531447390001
49,Albania,2004,15-24 years,6.734999999999999,2.300918322915
50,Albania,2004,25-34 years,6.4,2.5044843979899998
51,Albania,2004,35+ years,6.289999999999999,3.5196467825166664
52,Albania,2005,14- years,0.0,0.906639163188
53,Albania,2005,15-24 years,0.0,2.29423208614
54,Albania,2005,25-34 years,0.0,2.50472194387
55,Albania,2005,35+ years,0.0,3.517624489033334
