,year,country,sex,suicides_no,population,HDIforyear,gdp_for_year($),gdp_per_capita($),unemployment,depression_rate,suicides_per_100K
0,1985,Antigua and Barbuda,female,0,32292,,240923926,3850,,,0.0
1,1985,Antigua and Barbuda,male,0,30282,,240923926,3850,,,0.0
2,1985,Argentina,female,538,13690900,0.6940000000000001,88416668900,3264,,,3.9296174831457393
3,1985,Argentina,male,1450,13399900,0.6940000000000001,88416668900,3264,,,10.820976275942359
4,1985,Australia,female,425,7313800,,180190994861,12374,8.7628002166748,,5.810932757253411
5,1985,Australia,male,1436,7248700,,180190994861,12374,7.940899848937991,,19.8104487701243
6,1985,Austria,female,624,3751216,0.7640000000000001,69386774475,9759,3.5399999618530296,,16.634605951776702
7,1985,Austria,male,1467,3358899,0.7640000000000001,69386774475,9759,3.64000010490417,,43.675025655728255
8,1985,Bahamas,female,0,103700,,2320699900,11393,,,0.0
9,1985,Bahamas,male,1,100000,,2320699900,11393,,,1.0
10,1985,Bahrain,female,1,143900,0.727,3651861702,9980,,,0.6949270326615705
11,1985,Bahrain,male,10,222000,0.727,3651861702,9980,,,4.504504504504504
12,1985,Barbados,female,2,122000,0.7000000000000001,1417575550,6137,24.2000007629395,,1.639344262295082
13,1985,Barbados,male,5,109000,0.7000000000000001,1417575550,6137,14.1899995803833,,4.587155963302752
14,1985,Belgium,female,759,4759700,0.774,86730038793,9356,17.839199066162102,,15.946383175410215
15,1985,Belgium,male,1522,4509900,0.774,86730038793,9356,7.35839986801147,,33.747976673540435
16,1985,Brazil,female,1066,58996800,0.5760000000000001,222942790435,1898,3.85999989509583,,1.8068776611612833
17,1985,Brazil,male,3162,58482100,0.5760000000000001,222942790435,1898,3.17000007629395,,5.4067825881765526
18,1985,Bulgaria,female,422,4231000,0.6859999999999999,17155421053,2044,,,9.974001418104466
19,1985,Bulgaria,male,1034,4161500,0.6859999999999999,17155421053,2044,,,24.846810044455122
20,1985,Canada,female,693,11912400,0.8270000000000001,364756499451,15522,10.5691995620728,,5.81746751284376
21,1985,Canada,male,2565,11587500,0.8270000000000001,364756499451,15522,10.4530000686646,,22.135922330097088
22,1985,Chile,female,111,5404600,0.654,17702885394,1658,,,2.0538060170965475
23,1985,Chile,male,572,5270800,0.654,17702885394,1658,,,10.852242543826364
24,1985,Colombia,female,218,12504900,0.573,34894411352,1393,18.6499996185303,,1.743316619885005
25,1985,Colombia,male,783,12547500,0.573,34894411352,1393,10.6599998474121,,6.240286909742977
26,1985,Costa Rica,female,16,1108600,0.6230000000000001,4796628461,2145,,,1.4432617716038245
27,1985,Costa Rica,male,112,1127600,0.6230000000000001,4796628461,2145,,,9.932600212841434
28,1985,Dominica,female,0,33000,,98585185,1485,,,0.0
29,1985,Dominica,male,0,33400,,98585185,1485,,,0.0
30,1985,Ecuador,female,114,3805900,0.6310000000000001,17149094590,2238,,,2.995349326046402
31,1985,Ecuador,male,279,3855900,0.6310000000000001,17149094590,2238,,,7.2356648253326075
32,1985,France,female,3603,26422100,0.741,553138414367,10765,12.6295003890991,,13.63631202667464
33,1985,France,male,8898,24960500,0.741,553138414367,10765,8.48989963531494,,35.64832435247691
34,1985,Greece,female,128,4729100,0.741,47820850975,5156,11.7332000732422,,2.70664608487873
35,1985,Greece,male,277,4546300,0.741,47820850975,5156,5.6431999206542995,,6.0928667267888175
36,1985,Grenada,female,0,44077,,167728444,1965,,,0.0
37,1985,Grenada,male,1,41298,,167728444,1965,,,2.42142476633251
38,1985,Iceland,female,7,109600,0.7759999999999999,2939845038,13357,,,6.3868613138686126
39,1985,Iceland,male,25,110500,0.7759999999999999,2939845038,13357,,,22.624434389140273
40,1985,Ireland,female,60,1607500,0.742,21295486383,6638,19.2250003814697,,3.7325038880248833
41,1985,Ireland,male,216,1600700,0.742,21295486383,6638,17.3281002044678,,13.494096332854374
42,1985,Israel,female,75,1887900,0.7679999999999999,27493591484,7325,7.01999998092651,,3.972668043858255
43,1985,Israel,male,159,1865600,0.7679999999999999,27493591484,7325,5.90999984741211,,8.522727272727273
44,1985,Italy,female,1388,27902400,0.738,450725816043,8329,15.320599555969201,,4.974482481793681
45,1985,Italy,male,3371,26212300,0.738,450725816043,8329,6.299200057983401,,12.860374709582906
46,1985,Jamaica,female,2,1030000,0.65,2100223150,1032,56.0099983215332,,0.1941747572815534
47,1985,Jamaica,male,6,1005000,0.65,2100223150,1032,18.6800003051758,,0.5970149253731343
48,1985,Japan,female,8012,57570400,0.7909999999999999,1398892744821,12401,2.70000004768372,,13.91687394911274
49,1985,Japan,male,15245,55238800,0.7909999999999999,1398892744821,12401,2.5999999046325697,,27.59835477961143
50,1985,Kuwait,female,3,618700,0.7320000000000001,21442619681,14607,,,0.4848876676903184
51,1985,Kuwait,male,14,849300,0.7320000000000001,21442619681,14607,,,1.6484163428705993
52,1985,Luxembourg,female,16,177800,0.7519999999999999,4738559685,13743,4.31689977645874,,8.998875140607424
53,1985,Luxembourg,male,39,167000,0.7519999999999999,4738559685,13743,2.23779988288879,,23.353293413173652
54,1985,Malta,female,0,158400,0.713,1117835286,3639,7.199999809265139,,0.0
55,1985,Malta,male,2,148800,0.713,1117835286,3639,8.39999961853027,,1.3440860215053763
56,1985,Mauritius,female,36,441600,0.5750000000000001,1080642033,1223,,,8.152173913043477
57,1985,Mauritius,male,68,441800,0.5750000000000001,1080642033,1223,,,15.391579900407423
58,1985,Mexico,female,265,33840000,0.634,184472557415,2730,,,0.783096926713948
59,1985,Mexico,male,1279,33726000,0.634,184472557415,2730,,,3.7923263950661212
60,1985,Netherlands,female,590,6897600,0.799,142009922306,10428,12.3837003707886,,8.55369983762468
61,1985,Netherlands,male,1048,6720700,0.799,142009922306,10428,9.460700035095211,,15.593613760471381
62,1985,New Zealand,female,83,1528400,0.805,24950895141,8246,,,5.430515571839832
63,1985,New Zealand,male,255,1497400,0.805,24950895141,8246,,,17.029517830906904
64,1985,Panama,female,12,932300,0.648,6541517100,3443,18.4699993133545,,1.2871393328327791
65,1985,Panama,male,44,967400,0.648,6541517100,3443,9.48999977111816,,4.548273723382262
66,1985,Paraguay,female,27,1523789,0.564,2966234106,964,5.15999984741211,,1.7718988652628416
67,1985,Paraguay,male,36,1553525,0.564,2966234106,964,5.1100001335144,,2.317310632271769
68,1985,Portugal,female,290,4845198,0.676,27118476174,2912,11.220000267028801,,5.985307514780613
69,1985,Portugal,male,693,4468732,0.676,27118476174,2912,6.15999984741211,,15.507754772494748
70,1985,Puerto Rico,female,35,1587200,,20289200000,6582,15.539999961853,,2.205141129032258
71,1985,Puerto Rico,male,234,1495300,,20289200000,6582,24.75,,15.649033638734704
72,1985,Republic of Korea,female,998,18412100,,100273097170,2731,,,5.420348575121794
73,1985,Republic of Korea,male,2691,18304600,,100273097170,2731,,,14.701222643488522
74,1985,Saint Vincent and Grenadines,female,0,45900,,145641704,1622,,,0.0
75,1985,Saint Vincent and Grenadines,male,2,43900,,145641704,1622,,,4.555808656036446
76,1985,Seychelles,female,1,28700,,168887539,2947,,,3.4843205574912894
77,1985,Seychelles,male,7,28600,,168887539,2947,,,24.475524475524477
78,1985,Singapore,female,134,1155300,,19138296376,8142,4.32000017166138,,11.598718947459533
79,1985,Singapore,male,190,1195200,,19138296376,8142,4.480000019073491,,15.896921017402946
80,1985,Spain,female,685,18380000,0.725,180302412231,5009,25.0400009155273,,3.726877040261153
81,1985,Spain,male,1829,17617000,0.725,180302412231,5009,20.159999847412102,,10.382017369586196
82,1985,Sri Lanka,female,1730,6796000,0.597,5978460972,431,,,25.45615067686875
83,1985,Sri Lanka,male,3938,7061000,0.597,5978460972,431,,,55.77113723268659
84,1985,Suriname,female,22,163900,,873250000,2706,,,13.422818791946309
85,1985,Suriname,male,58,158800,,873250000,2706,,,36.523929471032744
86,1985,Thailand,female,1240,23285054,0.539,38900692712,840,5.869999885559079,,5.325304377649285
87,1985,Thailand,male,1742,23018389,0.539,38900692712,840,4.13000011444092,,7.567862372992306
88,1985,Trinidad and Tobago,female,5,508000,0.6729999999999999,7375918367,7317,9.8100004196167,,0.984251968503937
89,1985,Trinidad and Tobago,male,24,500000,0.6729999999999999,7375918367,7317,9.13000011444092,,4.8
90,1985,United Kingdom,female,1684,27292029,0.753,489285164271,9231,10.989000320434599,,6.170299760417226
91,1985,United Kingdom,male,3421,25714506,0.753,489285164271,9231,11.8394002914429,,13.303774919883741
92,1985,United States,female,6308,113781000,0.8410000000000001,4346734000000,19693,7.400000095367429,,5.543983617651453
93,1985,United States,male,23138,106942000,0.8410000000000001,4346734000000,19693,7.0,,21.636027005292586
94,1985,Uruguay,female,51,1396300,0.6669999999999999,4732017873,1729,,,3.6525102055432215
95,1985,Uruguay,male,236,1341100,0.6669999999999999,4732017873,1729,,,17.59749459399001
96,1986,Antigua and Barbuda,female,0,31663,,290440148,4740,,,0.0
97,1986,Antigua and Barbuda,male,0,29607,,290440148,4740,,,0.0
98,1986,Argentina,female,641,13768700,,110934442763,4072,,,4.655486719879145
99,1986,Argentina,male,1643,13475700,,110934442763,4072,,,12.192316540142627
100,1986,Australia,female,463,7428700,,181977476217,12288,8.706700325012209,,6.232584436038606
101,1986,Australia,male,1581,7381100,,181977476217,12288,7.67070007324219,,21.419571608567825
102,1986,Austria,female,628,3751163,,99036165210,13911,3.0599999427795397,,16.741474577351077
103,1986,Austria,male,1511,3367986,,99036165210,13911,3.1500000953674303,,44.86360691523065
104,1986,Barbados,female,1,122300,,1556321742,6720,22.969999313354503,,0.8176614881439084
105,1986,Barbados,male,7,109300,,1556321742,6720,12.9899997711182,,6.404391582799634
106,1986,Belgium,female,714,4767700,,120661220336,12992,17.9312992095947,,14.975774482454852
107,1986,Belgium,male,1488,4519400,,120661220336,12992,7.141300201416019,,32.92472452095411
108,1986,Belize,female,1,73600,,227850000,1552,,,1.358695652173913
109,1986,Belize,male,2,73200,,227850000,1552,,,2.73224043715847
110,1986,Brazil,female,1154,60498100,,268137224730,2257,2.7100000381469704,,1.9074979214223258
111,1986,Brazil,male,3117,58278300,,268137224730,2257,2.22000002861023,,5.348474475061901
112,1986,Bulgaria,female,433,4230700,,20249294118,2413,,,10.234712931666154
113,1986,Bulgaria,male,975,4160800,,20249294118,2413,,,23.432993655066333
114,1986,Canada,female,820,11941300,,377437927312,16062,9.75679969787598,,6.866924036746418
115,1986,Canada,male,2850,11557800,,377437927312,16062,9.47010040283203,,24.658672065618024
116,1986,Chile,female,122,5542800,,18891048819,1728,9.64999961853027,,2.2010536191094756
117,1986,Chile,male,532,5388900,,18891048819,1728,8.340000152587889,,9.872144593516301
118,1986,Colombia,female,218,12771000,,34942489684,1366,17.1599998474121,,1.7069924046668234
119,1986,Colombia,male,740,12814600,,34942489684,1366,10.0299997329712,,5.774663274702293
120,1986,Costa Rica,female,13,1136700,,5477895475,2389,,,1.1436614762030437
121,1986,Costa Rica,male,118,1156200,,5477895475,2389,,,10.205846739318458
122,1986,Ecuador,female,131,3915100,,15314143988,1943,,,3.3460192587673365
123,1986,Ecuador,male,246,3966200,,15314143988,1943,,,6.202410367606273
124,1986,France,female,3657,26558500,,771470783218,14940,12.268699645996099,,13.769602951973946
125,1986,France,male,8872,25079100,,771470783218,14940,8.68480014801025,,35.3760701141588
126,1986,Greece,female,101,4757700,,56379593720,6040,11.5635995864868,,2.1228744981818948
127,1986,Greece,male,292,4576300,,56379593720,6040,5.042200088500981,,6.380700565959399
128,1986,Guatemala,female,36,3482969,,7231963516,1044,,,1.0336009307002159
129,1986,Guatemala,male,167,3441219,,7231963516,1044,,,4.852931475735778
130,1986,Iceland,female,12,110700,,3930518366,17681,,,10.840108401084011
131,1986,Iceland,male,25,111600,,3930518366,17681,,,22.40143369175627
132,1986,Ireland,female,67,1613400,,28748960471,8937,19.4911003112793,,4.1527209619437215
133,1986,Ireland,male,215,1603300,,28748960471,8937,17.3414001464844,,13.409842200461547
134,1986,Israel,female,96,1918500,,34083532195,8938,,,5.003909304143863
135,1986,Israel,male,182,1895000,,34083532195,8938,,,9.604221635883905
136,1986,Italy,female,1398,27984600,,638273986102,11762,16.9857997894287,,4.995604725456143
